,0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,index,plate_well_neuron,disease
70718,0.016320824,0.017911301,,,,,,,0.017239708,0.020284111,0.020372563,0.022139926,,,,,70719,RGEDIMachineLearning28_B11_7,normal
70719,0.013570701,,,,,,,,,,,,,,,,70720,RGEDIMachineLearning28_B11_8,normal
70720,0.012018609,,,,,,,,,,,,,,,,70721,RGEDIMachineLearning28_B11_9,normal
70721,0.015013944,0.018276317,,,,,,,,,,,,,,,70722,RGEDIMachineLearning28_B12_1,normal
70722,0.015768015,0.016684448,,,,,,,0.013009899,0.136211209,,,,,,,70723,RGEDIMachineLearning28_B12_10,normal
70723,0.017297611,0.146453099,,,,,,,,,,,,,,,70724,RGEDIMachineLearning28_B12_11,normal
70724,0.015659686,,,,,,,,,,,,,,,,70725,RGEDIMachineLearning28_B12_12,normal
70725,0.016569667,0.019254708,,,,,,,0.019977704,0.020020265,0.020528011,0.023691896,0.028658481,0.029872291,,,70726,RGEDIMachineLearning28_B12_13,normal
70726,0.015916921,0.026584481,,,,,,,0.163297606,0.05249845,0.015880555,0.023575489,,,,,70727,RGEDIMachineLearning28_B12_14,normal
70727,0.111237439,,,,,,,,,,,,,,,,70728,RGEDIMachineLearning28_B12_15,normal
70728,0.017005538,,,,,,,,,,,,,,,,70729,RGEDIMachineLearning28_B12_16,normal
70729,0.016993849,0.017474447,,,,,,,0.170707013,,,,,,,,70730,RGEDIMachineLearning28_B12_17,normal
70730,0.016353647,0.020985104,,,,,,,0.023214339,,,,,,,,70731,RGEDIMachineLearning28_B12_18,normal
70731,0.123270843,,,,,,,,,,,,,,,,70732,RGEDIMachineLearning28_B12_19,normal
70732,0.011733187,,,,,,,,,,,,,,,,70733,RGEDIMachineLearning28_B12_2,normal
70733,0.01021402,0.011110778,,,,,,,0.014270301,0.016372012,0.012270617,,,,,,70734,RGEDIMachineLearning28_B12_20,normal
70734,0.015323089,0.181590505,,,,,,,,,,,,,,,70735,RGEDIMachineLearning28_B12_21,normal
70735,0.019819537,0.064193701,,,,,,,0.135102697,,,,,,,,70736,RGEDIMachineLearning28_B12_22,normal
70736,0.140399854,,,,,,,,,,,,,,,,70737,RGEDIMachineLearning28_B12_3,normal
70737,0.01890192,0.135703274,,,,,,,,,,,,,,,70738,RGEDIMachineLearning28_B12_4,normal
70738,0.014993045,0.018897446,,,,,,,,,,,,,,,70739,RGEDIMachineLearning28_B12_5,normal
70739,0.025879702,,,,,,,,,,,,,,,,70740,RGEDIMachineLearning28_B12_6,normal
70740,0.016221459,0.162996298,,,,,,,,,,,,,,,70741,RGEDIMachineLearning28_B12_7,normal
70741,0.013969612,,,,,,,,,,,,,,,,70742,RGEDIMachineLearning28_B12_8,normal
70742,0.015752906,,,,,,,,,,,,,,,,70743,RGEDIMachineLearning28_B12_9,normal
70743,0.014951302,0.019427116,,,,,,,,,,,,,,,70744,RGEDIMachineLearning28_B2_1,normal
70744,0.019226432,0.023975903,,,,,,,0.026718053,0.269993888,0.178255142,,,,,,70745,RGEDIMachineLearning28_B2_2,normal
70745,0.017636938,,,,,,,,,,,,,,,,70746,RGEDIMachineLearning28_B2_3,normal
70746,0.012405898,0.019175563,,,,,,,0.020783042,0.174088898,,,,,,,70747,RGEDIMachineLearning28_B2_4,normal
70747,0.067736743,,,,,,,,,,,,,,,,70748,RGEDIMachineLearning28_B2_5,normal
70748,0.014311073,0.015387227,,,,,,,0.012774733,,,,,,,,70749,RGEDIMachineLearning28_B2_6,normal
70749,0.013982932,0.016833787,,,,,,,0.01864966,0.214923593,0.201371893,0.185139877,,,,,70750,RGEDIMachineLearning28_B2_7,normal
70750,0.013919488,,,,,,,,,,,,,,,,70751,RGEDIMachineLearning28_B3_1,normal
70751,0.098168113,,,,,,,,,,,,,,,,70752,RGEDIMachineLearning28_B3_10,normal
70752,0.016327241,0.019693982,,,,,,,,,,,,,,,70753,RGEDIMachineLearning28_B3_11,normal
70753,0.008806493,,,,,,,,,,,,,,,,70754,RGEDIMachineLearning28_B3_12,normal
70754,0.015981357,,,,,,,,,,,,,,,,70755,RGEDIMachineLearning28_B3_13,normal
70755,0.015750862,0.016845377,,,,,,,,,,,,,,,70756,RGEDIMachineLearning28_B3_14,normal
70756,0.014126126,0.017068066,,,,,,,0.017963793,0.018348539,0.018703386,0.018623633,0.018596936,0.019687894,,,70757,RGEDIMachineLearning28_B3_15,normal
70757,0.092808479,,,,,,,,,,,,,,,,70758,RGEDIMachineLearning28_B3_16,normal
70758,0.013353671,0.016193237,,,,,,,,,,,,,,,70759,RGEDIMachineLearning28_B3_17,normal
70759,0.13465592,,,,,,,,,,,,,,,,70760,RGEDIMachineLearning28_B3_2,normal
70760,0.0147339,0.017335563,,,,,,,0.157847122,,,,,,,,70761,RGEDIMachineLearning28_B3_3,normal
70761,0.015626662,0.016694644,,,,,,,0.019477968,0.021267415,0.02018538,,,,,,70762,RGEDIMachineLearning28_B3_4,normal
70762,0.01557954,0.022085825,,,,,,,,,,,,,,,70763,RGEDIMachineLearning28_B3_5,normal
70763,0.016268143,,,,,,,,,,,,,,,,70764,RGEDIMachineLearning28_B3_6,normal
70764,0.016339087,,,,,,,,,,,,,,,,70765,RGEDIMachineLearning28_B3_7,normal
70765,0.017045856,0.019661413,,,,,,,0.146446526,,,,,,,,70766,RGEDIMachineLearning28_B3_8,normal
70766,0.057623487,,,,,,,,,,,,,,,,70767,RGEDIMachineLearning28_B3_9,normal
70767,0.014932486,0.018103824,,,,,,,0.019599376,0.023107063,0.024231686,0.179890667,,,,,70768,RGEDIMachineLearning28_B4_1,normal
70768,0.01491363,0.016608966,,,,,,,0.163014663,,,,,,,,70769,RGEDIMachineLearning28_B4_10,normal
70769,0.014078797,0.018104843,,,,,,,0.02169021,,,,,,,,70770,RGEDIMachineLearning28_B4_11,normal
70770,0.01415096,0.125339879,,,,,,,0.016248215,0.149714079,,,,,,,70771,RGEDIMachineLearning28_B4_12,normal
70771,0.014258664,0.016881333,,,,,,,0.170717546,,,,,,,,70772,RGEDIMachineLearning28_B4_2,normal
70772,0.012166386,0.014997379,,,,,,,0.157963024,,,,,,,,70773,RGEDIMachineLearning28_B4_3,normal
70773,0.013032691,0.015317648,,,,,,,,,,,,,,,70774,RGEDIMachineLearning28_B4_4,normal
70774,0.016680339,0.019429911,,,,,,,0.170158771,,,,,,,,70775,RGEDIMachineLearning28_B4_5,normal
70775,0.012478611,0.015388309,,,,,,,0.128121392,,,,,,,,70776,RGEDIMachineLearning28_B4_6,normal
70776,0.015117968,,,,,,,,,,,,,,,,70777,RGEDIMachineLearning28_B4_7,normal
70777,0.014337727,0.016992688,,,,,,,0.018879257,,,,,,,,70778,RGEDIMachineLearning28_B4_8,normal
70778,0.01453844,,,,,,,,,,,,,,,,70779,RGEDIMachineLearning28_B4_9,normal
70779,0.017326846,,,,,,,,,,,,,,,,70780,RGEDIMachineLearning28_B5_1,normal
70780,0.015254277,,,,,,,,,,,,,,,,70781,RGEDIMachineLearning28_B5_2,normal
70781,0.015867792,0.017162687,,,,,,,0.212100665,,,,,,,,70782,RGEDIMachineLearning28_B5_3,normal
70782,0.01559895,0.017156591,,,,,,,0.019178988,0.16979992,,,,,,,70783,RGEDIMachineLearning28_B5_4,normal
70783,0.01798946,0.01799346,,,,,,,0.015635341,,,,,,,,70784,RGEDIMachineLearning28_B6_1,normal
