index,plate_well_neuron,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
98,PID20170214_RGEDIMachineLearning22_A10_24,0.009117547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,PID20170214_RGEDIMachineLearning22_A10_25,0.017223754,0.018508433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,PID20170214_RGEDIMachineLearning22_A10_26,0.019101505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,PID20170214_RGEDIMachineLearning22_A10_27,0.180664645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,PID20170214_RGEDIMachineLearning22_A10_28,0.168471047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,PID20170214_RGEDIMachineLearning22_A10_29,0.142586915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,PID20170214_RGEDIMachineLearning22_A10_3,0.01744104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,PID20170214_RGEDIMachineLearning22_A10_30,0.019894381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,PID20170214_RGEDIMachineLearning22_A10_31,0.020129068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,PID20170214_RGEDIMachineLearning22_A10_32,0.015478126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,PID20170214_RGEDIMachineLearning22_A10_33,0.015472076,0.017052306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,PID20170214_RGEDIMachineLearning22_A10_34,0.02026704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,PID20170214_RGEDIMachineLearning22_A10_35,0.190328852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,PID20170214_RGEDIMachineLearning22_A10_36,0.019094468,0.016051687,0.015768538,0.017543218,0.018512907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,PID20170214_RGEDIMachineLearning22_A10_4,0.015394053,0.018250284,0.019349607,0.021534227,0.02519285,0.025621845,0.02271967,NA,NA,NA,NA,NA,NA,NA,NA
113,PID20170214_RGEDIMachineLearning22_A10_5,0.01688669,0.019031076,0.021378154,0.023439384,0.026915756,0.029364933,0.030335049,NA,NA,NA,NA,NA,NA,NA,NA
114,PID20170214_RGEDIMachineLearning22_A10_6,0.011967278,0.016955456,0.018005335,0.162879205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,PID20170214_RGEDIMachineLearning22_A10_7,0.016041204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,PID20170214_RGEDIMachineLearning22_A10_8,0.017011722,0.017506431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,PID20170214_RGEDIMachineLearning22_A10_9,0.01581507,0.017553814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,PID20170214_RGEDIMachineLearning22_A11_1,0.006391312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,PID20170214_RGEDIMachineLearning22_A11_10,0.015271893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,PID20170214_RGEDIMachineLearning22_A11_11,0.018238473,0.018212767,0.019947045,0.020187788,0.020885344,0.022425902,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,PID20170214_RGEDIMachineLearning22_A11_12,0.016398081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,PID20170214_RGEDIMachineLearning22_A11_13,0.017779995,0.019651629,0.021793216,0.024761294,0.026776503,0.029411824,0.031732578,NA,NA,NA,NA,NA,NA,NA,NA
123,PID20170214_RGEDIMachineLearning22_A11_14,0.015510006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,PID20170214_RGEDIMachineLearning22_A11_15,0.015943024,0.017279294,0.017385427,0.019706022,0.020493792,0.167311393,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,PID20170214_RGEDIMachineLearning22_A11_16,0.014445771,0.016796739,0.019848897,0.018672618,0.019998523,0.163840654,0.170491443,NA,NA,NA,NA,NA,NA,NA,NA
126,PID20170214_RGEDIMachineLearning22_A11_17,0.015264164,0.01755853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,PID20170214_RGEDIMachineLearning22_A11_18,0.016518988,0.04172537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,PID20170214_RGEDIMachineLearning22_A11_19,0.018363513,0.021876052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,PID20170214_RGEDIMachineLearning22_A11_2,0.148086385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,PID20170214_RGEDIMachineLearning22_A11_20,0.018382872,0.150827801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,PID20170214_RGEDIMachineLearning22_A11_21,0.148369344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,PID20170214_RGEDIMachineLearning22_A11_22,0.145534314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,PID20170214_RGEDIMachineLearning22_A11_23,0.01675119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,PID20170214_RGEDIMachineLearning22_A11_24,0.017504615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,PID20170214_RGEDIMachineLearning22_A11_25,0.016589566,0.017955766,0.019592477,0.020103062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,PID20170214_RGEDIMachineLearning22_A11_26,0.140142277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,PID20170214_RGEDIMachineLearning22_A11_27,0.015835627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
